Sr No,Server Target,Item Description,Brand,Model Number,Specification / Notes,Unit,Qty,Phase,Unit Price (INR),Line Total (INR),GST %,Warranty,Vendor Remarks
1,Frigate Node,Desktop Processor AM5 8-core 16-thread,AMD,Ryzen 7 7700 (100-100000592BOX),"Zen 4 65W TDP; includes Wraith Prism cooler",pcs,2,Phase 1 & 2,,,,,
2,Frigate Node,Motherboard AM5 ATX B650,ASUS,TUF Gaming B650-Plus (non-WiFi),"2x M.2 slots PCIe 5.0 x16 2.5GbE LAN — Alt: MSI B650-P Pro / Gigabyte B650 Aorus Elite (non-WiFi variants only)",pcs,2,Phase 1 & 2,,,,,
3,Frigate Node,DDR5 RAM Kit 64GB (2x32GB),Corsair,Vengeance DDR5-5600 CMK64GX5M2B5600C40,"Non-ECC DDR5-5600 CL40 — Alt: G.Skill Ripjaws S5 F5-5600J4040D32GX2-RS5K",kit,2,Phase 1 & 2,,,,,
4,Frigate Node,GPU 12GB GDDR6,ZOTAC,GeForce RTX 3060 Twin Edge OC 12GB,"PCIe 4.0 x16 12GB GDDR6 170W — Alt: PNY / MSI / Gigabyte RTX 3060 12GB variants; avoid 8GB variants",pcs,2,Phase 1 & 2,,,,,
5,Frigate Node,CPU Air Cooler Tower,Thermalright,Peerless Assassin 120 SE,"6 heatpipe dual-tower 157mm height — Alt: Deepcool AK620 acceptable",pcs,2,Phase 1 & 2,,,,,
6,Frigate Node,NVMe Gen4 SSD 500GB,Western Digital,WD Black SN770 500GB (WDS500G3X0E),"M.2 2280 PCIe 4.0 — Alt: Samsung 980 500GB / Kingston KC3000 512GB",pcs,4,Phase 1 & 2,,,,,
7,Frigate Node,Surveillance HDD 8TB SATA CMR,Seagate,SkyHawk ST8000VX004,"7200rpm 256MB cache CMR — Alt: WD Purple WD84PURZ if in stock — must NOT substitute desktop-grade drives",pcs,8,Phase 1 & 2,,,,,
8,Frigate Node,PSU 750W 80+ Gold Fully Modular,MSI,MAG A750GL PCIe 5.0 ATX 3.0,"Fully modular — Alt: Corsair RM750x / Seasonic Focus GX-750 acceptable",pcs,2,Phase 1 & 2,,,,,
9,Frigate Node,10G SFP+ Single-port PCIe NIC,Mellanox / NVIDIA,ConnectX-3 CX311A-XCAT (refurb acceptable),"PCIe 3.0 x8 SFP+; must ship with low-profile bracket option — Alt: Intel X520-DA1 / X710-DA1",pcs,2,Phase 1 & 2,,,,,
10,Frigate Node,AI Accelerator M.2 A+E Key,Google,Coral M.2 Accelerator A+E Key,"USB dongle variant also acceptable",pcs,2,Phase 1 & 2,,,,,
11,Frigate Node,Miscellaneous - SATA cables + thermal paste + HDD mounting screws,Generic,-,"Per node: 3x SATA III data cables + 5g thermal paste tube + 16x M3 HDD screws",lot,2,Phase 1 & 2,,,,,
12,Services Box Upgrade,DDR4-3200 RAM 16GB,Kingston,Fury Beast KF432C16BB1/16,"To populate existing LGA1200 platform to 64GB total — Alt: Corsair Vengeance LPX CMK16GX4M1E3200C16",pcs,2,Phase 1,,,,,
13,Services Box Upgrade,10G SFP+ Single-port PCIe NIC,Mellanox / NVIDIA,ConnectX-3 CX311A-XCAT (refurb acceptable),"PCIe 3.0 x8 SFP+ — same as Frigate node NIC",pcs,1,Phase 1,,,,,
14,NAS,Desktop Processor AM5 6-core 12-thread ECC-capable,AMD,Ryzen 5 7600 (100-100001015BOX),"Zen 4 65W TDP",pcs,1,Phase 3,,,,,
15,NAS,Motherboard AM5 ATX B650 with ECC support,ASRock,B650 Pro RS,"ECC UDIMM support required — verify BIOS ECC toggle available",pcs,1,Phase 3,,,,,
16,NAS,DDR5 ECC UDIMM 32GB single stick,Kingston,Server Premier KSM48E40BS8KM-32HA,"DDR5-4800 ECC UDIMM 32GB — verify stock; Alt: Micron MTA9ASF4G72AZ-3G2R1",pcs,1,Phase 3,,,,,
17,NAS,SAS HBA IT-mode 8-port,Broadcom / LSI,SAS 9300-8i (refurb IT-mode flashed acceptable),"PCIe 3.0 x8 8-port SAS 12Gb/s — must be IT mode not RAID — Alt: LSI 9305-16i acceptable",pcs,1,Phase 3,,,,,
18,NAS,NVMe Gen3 SSD 500GB,Crucial,P3 CT500P3SSD8,"M.2 2280 PCIe 3.0 boot drive",pcs,1,Phase 3,,,,,
19,NAS,Surveillance HDD 12TB SATA CMR helium,Western Digital,WD Purple WD121PURZ,"7200rpm CMR helium-filled — Alt: Seagate SkyHawk AI ST12000VE001 acceptable",pcs,8,Phase 3,,,,,
20,NAS,PSU 650W 80+ Gold Fully Modular,Corsair,RM650 CP-9020233-IN,"Fully modular — Alt: Seasonic Focus GX-650 acceptable",pcs,1,Phase 3,,,,,
21,NAS,10G SFP+ Single-port PCIe NIC,Mellanox / NVIDIA,ConnectX-3 CX311A-XCAT (refurb acceptable),"PCIe 3.0 x8 SFP+ — same as other NICs",pcs,1,Phase 3,,,,,
22,NAS,SAS to 4x SATA breakout cable SFF-8643,Generic,SFF-8643 fanout 4x SATA 1m,"Required in pairs to drive 8 HDDs from single 9300-8i HBA",pcs,2,Phase 3,,,,,
