Sr No,Item Description,Brand,Model Number,Specification / Notes,Unit,Qty,Phase,Unit Price (INR),Line Total (INR),GST %,Warranty,Vendor Remarks
1,Omada Multi-WAN VPN Router with 10G SFP+,TP-Link,ER8411,"2x 10G SFP+ + 8x 1G RJ45 + 2x 1G SFP; IPS ~4.9Gbps; supports WireGuard/OpenVPN/IPSec; rackmount 1U",pcs,1,Phase 1,,,,,
2,10G SFP+ Managed Aggregation Switch,TP-Link,TL-SX3016F,"16x 10G SFP+ ports L2+ managed dual PSU rackmount 1U",pcs,1,Phase 1,,,,,
3,48-port Gigabit PoE+ Managed Switch with 4x 10G SFP+,TP-Link,TL-SG3452XP,"48x 1G PoE+ (500W total PoE budget) + 4x 10G SFP+ uplinks; L2+ managed Omada-compatible rackmount 1U",pcs,4,Phase 1 & 2,,,,,
4,Wi-Fi 6 Ceiling Access Point AX3000,TP-Link,EAP650 v2,"Dual-band AX3000 802.3at PoE MU-MIMO OFDMA; for boss office / admin areas",pcs,5,Phase 1,,,,,
5,Wi-Fi 5 Ceiling Access Point AC1750,TP-Link,EAP245 v3,"Dual-band AC1750 802.3af PoE MU-MIMO; for sales floor / general coverage",pcs,10,Phase 1 & 2,,,,,
6,Omada Hardware Controller,TP-Link,OC200,"Optional appliance — skip if using self-hosted software controller on services box",pcs,1,Phase 1,,,,,
7,10G SFP+ DAC Passive Copper 1m,TP-Link,TXC432-CU 1m,"Rack-internal 10G links within HQ rack",pcs,8,Phase 1 & 2,,,,,
8,10G SFP+ DAC Passive Copper 3m,TP-Link,TXC432-CU 3m,"For 10G links between adjacent rack positions up to 3m",pcs,4,Phase 1 & 2,,,,,
9,10G SFP+ Multimode SR Transceiver,TP-Link,TL-SM5110-SR,"For fiber runs to IDF racks — 2 modules per IDF (HQ end + IDF end); 3 IDFs = 6 modules; qty allows spare",pcs,8,Phase 1 & 2,,,,,
10,OM3 Multimode Fiber Patch Cord LC-LC Duplex 10m,Generic / Commscope,OM3 50/125 LC-LC duplex 10m,"Interconnect between HQ rack and each IDF rack via SR optics — 1 per IDF; verify actual length after site survey",pcs,3,Phase 1 & 2,,,,,
11,OM3 Multimode Fiber Patch Cord LC-LC Duplex 3m,Generic / Commscope,OM3 50/125 LC-LC duplex 3m,"For patching within racks between fiber terminations and switches",pcs,6,Phase 1 & 2,,,,,
12,Cat6 UTP Punch-Down Keystone Jack RJ45,Commrax / D-Link,Cat6 UTP Punch-Down Keystone,"For rack-side patch panel termination (all drops) + faceplate termination (phone + staff drops only); qty = 150 camera panel + 15 AP panel + 20 phone (both ends) + 50 staff (both ends) + 5 spare",pcs,240,Phase 1 & 2,,,,,
13,24-port Cat6 UTP Patch Panel 1U Unloaded,Commrax / D-Link,Unloaded UTP Patch Panel 24-port 1U,"For camera + AP + phone + staff aggregation — 4 for HQ + 3 for IDFs",pcs,7,Phase 1 & 2,,,,,
14,Cat6 Patch Cord 1m Booted,Generic / Commrax,Cat6 UTP 1m factory-terminated,"Rack patching between panel and switch",pcs,200,Phase 1 & 2,,,,,
15,Cat6 Patch Cord 2m Booted,Generic / Commrax,Cat6 UTP 2m factory-terminated,"Longer rack patch runs + faceplate to phone / staff device patching",pcs,50,Phase 1 & 2,,,,,
16,Single-port UTP Faceplate + Back Box,Legrand / Anchor / Havells,Cat6 single-port face plate,"For IP phone (10) + staff/POS drop (25) wall terminations",pcs,35,Phase 1 & 2,,,,,
17,XPON SFP ONU (unlocked),HSGQ,SFP XPON ONU,"For bypassing ISP-provided ONT and taking fiber into ER8411 directly — Airtel/Jio compatible",pcs,1,Phase 1,,,,,
18,SIP Desk Phone 2-line PoE,Grandstream,GRP2601P,"802.3af PoE 2 SIP accounts HD audio — Alt: Fanvil X3S / Yealink T31P acceptable",pcs,10,Phase 1,,,,,
